Name,SUM of Score,SUM of Handicap,SUM of total,holes left to lock in,%age of holes locked
BigRiver (Brett) (R),-7,20.0,-27.0,0,100.0%
jackharrison (Jack),23,44.9,-21.9,0,100.0%
golfgod69 (Josh),-1,20.1,-21.1,0,100.0%
bumbinger (Jack),5,26.0,-21.0,0,100.0%
보기카스 (Kyle),2,22.7,-20.7,0,100.0%
Ju섐보 (Juyong) (R),-4,14.9,-18.9,0,100.0%
Commishhhh (Neil),-8,8.5,-16.5,0,100.0%
double_putt (Alan),-5,11.4,-16.4,0,100.0%
rickiej (Rickie),5,21.0,-16.0,0,100.0%
flemster (Sean),-12,3.7,-15.7,0,100.0%
roddybanc (Roddy),-3,12.7,-15.7,0,100.0%
timmo86 (Neil),-12,2.8,-14.8,0,100.0%
goody (Nick),2,16.4,-14.4,0,100.0%
JockyWilson (Jamie),2,16.1,-14.1,0,100.0%
shaunybaby (Shaun),-6,8.1,-14.1,0,100.0%
batermankr (Jason),4,17.6,-13.6,0,100.0%
kylo (Kyle),-12,1.4,-13.4,0,100.0%
robertevans (Robert),-14,-1.6,-12.4,0,100.0%
EnricoPalazzo (Blake),-9,1.8,-10.8,0,100.0%
hardytom89 (David),12,22.6,-10.6,0,100.0%
타드 (Todd),-13,-3.0,-10.0,0,100.0%
richard85 (Rich),-6,3.1,-9.1,0,100.0%
unclejoejoe (Joe),-5,3.0,-8.0,0,100.0%
longshanks (Lewis) (R),6,13.7,-7.7,0,100.0%
dannie.drew (Danny),2,6.1,-4.1,0,100.0%
drewd (Drew),-3,0.8,-3.8,0,100.0%
danmor (Dan),5,6.0,-1.0,0,100.0%
rezasnap (Reza),29,29.4,-0.4,0,100.0%
Mal (Mal),9,8.2,0.8,0,100.0%
thechump (Alan),9,8.0,1.0,0,100.0%
schwinger (David),6,3.7,2.3,0,100.0%
핀탄 (Finton),30,15.6,14.4,0,100.0%
Grand Total,31,385.7,-354.7,0,3200.0%